"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 18:57:05 GMT 2024","Sun Apr 21 18:57:30 GMT 2024","25616","","","","","","[Android] Creating New Today's Task #2",""
"passed","Sun Apr 21 18:57:58 GMT 2024","Sun Apr 21 18:58:27 GMT 2024","29123","","","","","","[Android] Creating new Tomorrow's Task #1",""
"passed","Sun Apr 21 19:00:28 GMT 2024","Sun Apr 21 19:00:58 GMT 2024","30217","","","","","","[Android] Creating New Scheduled Task #3",""
"passed","Sun Apr 21 18:59:28 GMT 2024","Sun Apr 21 18:59:55 GMT 2024","27300","","","","","","[Android] Creating New Scheduled Task #1",""
"passed","Sun Apr 21 18:58:27 GMT 2024","Sun Apr 21 18:58:58 GMT 2024","30758","","","","","","[Android] Creating new Tomorrow's Task #2",""
"passed","Sun Apr 21 19:00:58 GMT 2024","Sun Apr 21 19:01:29 GMT 2024","30715","","","","","","[Android] Creating New Scheduled Task #4",""
"passed","Sun Apr 21 18:57:30 GMT 2024","Sun Apr 21 18:57:58 GMT 2024","27165","","","","","","[Android] Creating New Today's Task #3",""
"passed","Sun Apr 21 18:59:55 GMT 2024","Sun Apr 21 19:00:28 GMT 2024","32558","","","","","","[Android] Creating New Scheduled Task #2",""
"passed","Sun Apr 21 18:56:36 GMT 2024","Sun Apr 21 18:57:05 GMT 2024","28764","","","","","","[Android] Creating New Today's Task #1",""
"passed","Sun Apr 21 18:58:58 GMT 2024","Sun Apr 21 18:59:28 GMT 2024","30299","","","","","","[Android] Creating new Tomorrow's Task #3",""
