"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 19:28:39 UTC 2024","Tue Apr 16 19:29:06 UTC 2024","26961","","","","","","[IOS] Creating a New Task #2",""
"passed","Tue Apr 16 19:31:29 UTC 2024","Tue Apr 16 19:31:48 UTC 2024","18602","","","","","","[IOS] Creating a New Task #8",""
"passed","Tue Apr 16 19:31:06 UTC 2024","Tue Apr 16 19:31:24 UTC 2024","18699","","","","","","[IOS] Creating a New Task #7",""
"passed","Tue Apr 16 19:31:53 UTC 2024","Tue Apr 16 19:32:11 UTC 2024","18422","","","","","","[IOS] Creating a New Task #9",""
"passed","Tue Apr 16 19:24:38 UTC 2024","Tue Apr 16 19:28:34 UTC 2024","235345","","","","","","[IOS] Creating a New Task #1",""
"passed","Tue Apr 16 19:30:37 UTC 2024","Tue Apr 16 19:31:01 UTC 2024","23168","","","","","","[IOS] Creating a New Task #6",""
"passed","Tue Apr 16 19:30:08 UTC 2024","Tue Apr 16 19:30:32 UTC 2024","24477","","","","","","[IOS] Creating a New Task #5",""
"passed","Tue Apr 16 19:32:41 UTC 2024","Tue Apr 16 19:33:00 UTC 2024","18922","","","","","","[IOS] Creating a New Task #11",""
"passed","Tue Apr 16 19:29:11 UTC 2024","Tue Apr 16 19:29:34 UTC 2024","23121","","","","","","[IOS] Creating a New Task #3",""
"passed","Tue Apr 16 19:29:39 UTC 2024","Tue Apr 16 19:30:03 UTC 2024","23974","","","","","","[IOS] Creating a New Task #4",""
"passed","Tue Apr 16 19:32:16 UTC 2024","Tue Apr 16 19:32:36 UTC 2024","19653","","","","","","[IOS] Creating a New Task #10",""
